event date,volunteer number,event budge,event type,volunteer certification,total number,event location,volunteer's bonus,volunteer's score,satisfy
8/4/2015,11,2000,Equipment Sorter,Y,300,West Vancouver,286,40,Y
10/1/2015,13,1000,Food Hamper Volunteer,Y,200,West Vancouver,489,10,Y
7/11/2015,23,4000,Social Media,Y,500,New Westminster,183,50,Y
4/25/2015,22,1000,Food Hamper Volunteer,N,50,Burnaby,494,10,Y
5/24/2015,37,3000,Market Volunteer,Y,100,North Vancouver,236,10,Y
5/25/2015,18,1000,Special Event,N,300,North Vancouver,349,30,Y
3/25/2015,32,4000,Childen Program,N,400,Langley,201,50,Y
9/6/2015,31,3000,Equipment Sorter,Y,100,Burnaby,497,40,Y
6/22/2015,30,1000,Competition,Y,500,Vancouver,401,10,N
10/3/2015,29,4000,Fundraising,Y,600,Langley,202,30,Y
1/18/2015,21,4000,Meals on Wheels Volunteer,Y,100,Coquitlam,400,20,Y
7/28/2015,20,1000,Special Event,Y,50,Burnaby,412,10,Y
10/21/2015,24,4000,Contest,Y,100,Coquitlam,433,50,Y
4/2/2015,33,1000,Survey,Y,100,Langley,23,40,Y
3/7/2015,21,1000,Development Volunteer,Y,200,Coquitlam,48,40,Y
9/3/2015,36,2000,Museum Tour Guide,Y,600,North Vancouver,91,20,Y
4/20/2015,33,4000,Graphic Design,Y,400,West Vancouver,437,10,Y
3/25/2015,26,4000,Conference,N,500,Langley,33,50,N
3/7/2015,29,1000,Graphic Design,Y,50,Coquitlam,467,40,Y
2/27/2015,11,2000,Urban Native Youth Association,Y,300,Richmond,439,10,Y
5/27/2015,13,4000,Training,N,400,North Vancouver,252,30,Y
2/22/2015,34,1000,Special Event,Y,300,North Vancouver,278,30,Y
1/14/2015,27,2000,Health Product Study,Y,200,Coquitlam,406,50,Y
9/12/2015,18,3000,Special Event,Y,100,Langley,463,30,Y
2/19/2015,27,1000,Community Visitor,Y,50,New Westminster,210,10,Y
3/19/2015,19,4000,Equipment Sorter,Y,600,Vancouver,278,50,Y
8/11/2015,30,1000,Graphic Design,N,50,Richmond,337,10,N
5/8/2015,25,1000,Survey,Y,600,Langley,170,20,Y
1/3/2015,14,4000,Parade,Y,500,New Westminster,120,40,Y
1/29/2015,39,1000,Visual Arts Committee,Y,300,Langley,291,50,Y
3/17/2015,19,2000,Parade,Y,200,Coquitlam,363,20,Y
7/22/2015,28,3000,Concert,N,600,Vancouver,327,10,Y
7/18/2015,22,2000,Charitable Donations,Y,600,Richmond,393,20,Y
6/17/2015,26,1000,Competition,Y,100,North Vancouver,169,20,Y
2/14/2015,13,1000,Big Sister Program,Y,400,West Vancouver,160,20,Y
8/4/2015,21,3000,Parade,Y,50,New Westminster,380,10,Y
4/1/2015,28,2000,Office Volunteer,Y,50,Langley,387,20,N
8/16/2015,33,4000,Childcare,Y,200,Coquitlam,330,20,Y
6/28/2015,36,3000,Childen Program,Y,300,New Westminster,420,30,Y
1/6/2015,10,1000,Special Event,Y,200,North Vancouver,15,50,N
7/2/2015,19,3000,Community Visitor,Y,400,Coquitlam,324,40,Y
8/19/2015,12,4000,Big Sister Program,Y,600,Maple Ridge,276,30,Y
8/3/2015,21,3000,Social Media,Y,500,Burnaby,272,30,Y
7/22/2015,29,4000,Special Event,Y,400,Coquitlam,38,10,N
6/23/2015,40,4000,In-School Mentor,Y,600,West Vancouver,413,30,Y
4/22/2015,30,4000,Food Hamper Volunteer,Y,600,Coquitlam,362,50,Y
3/5/2015,12,1000,Festival,Y,50,West Vancouver,165,50,Y
7/1/2015,11,3000,Childcare,Y,500,Burnaby,169,30,Y
5/24/2015,20,2000,Urban Native Youth Association,Y,100,West Vancouver,460,40,Y
9/15/2015,27,1000,Special Event,Y,600,Vancouver,145,50,Y
9/26/2015,34,3000,Social Media,Y,300,New Westminster,243,50,N
7/22/2015,37,1000,Study buddy Tutor,Y,400,North Vancouver,406,40,Y
7/14/2015,10,3000,Childen Program,Y,300,Vancouver,273,50,N
7/2/2015,17,4000,Visual Arts Committee,Y,600,Coquitlam,263,50,Y
10/20/2015,24,4000,Nature House Volunteer,Y,500,Richmond,69,10,Y
1/19/2015,12,1000,Office Volunteer,Y,200,Langley,45,30,Y
4/7/2015,21,4000,Childen Program,Y,400,Coquitlam,463,50,N
7/15/2015,34,1000,In-School Mentor,Y,50,Coquitlam,113,10,Y
7/11/2015,30,3000,Graphic Design,Y,600,West Vancouver,434,20,Y
4/30/2015,25,4000,Visual Arts Committee,Y,50,New Westminster,236,20,Y
2/13/2015,22,2000,Office Volunteer,Y,50,Maple Ridge,114,30,Y
7/29/2015,16,2000,Museum Tour Guide,Y,600,Richmond,289,50,Y
3/1/2015,15,2000,Parade,Y,50,West Vancouver,426,30,Y
5/5/2015,30,3000,Concert,Y,600,West Vancouver,131,10,Y
5/25/2015,30,3000,Training,Y,100,North Vancouver,495,50,Y
1/29/2015,14,3000,Study buddy Tutor,Y,400,North Vancouver,281,30,N
7/5/2015,18,2000,Graphic Design,Y,500,Burnaby,32,40,Y
2/28/2015,31,2000,Seniors Centre Volunteer,N,400,Maple Ridge,361,20,N
9/6/2015,18,3000,Health Product Study,Y,600,Richmond,399,20,Y
9/11/2015,20,1000,Health Product Study,Y,100,Coquitlam,490,50,N
9/24/2015,28,1000,Museum Tour Guide,Y,300,Maple Ridge,349,10,Y
10/4/2015,13,2000,Childcare,Y,500,Burnaby,27,30,N
7/15/2015,10,2000,Contest,N,400,Richmond,109,30,Y
8/16/2015,15,1000,Chamber of Commerce,Y,100,North Vancouver,325,30,Y
2/8/2015,22,3000,Community Visitor,Y,600,New Westminster,470,20,Y
7/4/2015,14,3000,Concert,Y,400,Richmond,497,10,Y
8/7/2015,19,1000,Survey,Y,600,West Vancouver,114,10,Y
2/5/2015,35,4000,Special Event,Y,400,West Vancouver,193,30,Y
5/21/2015,12,1000,Special Event,Y,400,Coquitlam,97,50,N
7/15/2015,36,4000,Urban Native Youth Association,Y,200,Coquitlam,471,10,Y
10/9/2015,11,2000,Food Hamper Volunteer,Y,500,West Vancouver,262,10,Y
7/12/2015,30,4000,Childcare,Y,300,Richmond,460,40,Y
1/23/2015,11,4000,Conference,Y,300,West Vancouver,334,40,Y
2/5/2015,22,4000,Nature House Volunteer,Y,500,Burnaby,262,20,Y
2/18/2015,26,4000,Seniors Centre Volunteer,Y,100,North Vancouver,281,30,Y
1/12/2015,14,4000,Special Event,Y,600,North Vancouver,319,30,Y
9/16/2015,30,3000,Fitness Class,Y,50,Langley,29,10,Y
9/7/2015,19,2000,Speech,Y,200,Vancouver,425,10,Y
4/23/2015,35,3000,Development Volunteer,N,500,Vancouver,336,20,Y
9/25/2015,29,4000,Competition,Y,300,Richmond,156,20,Y
6/5/2015,34,2000,Party,Y,200,Maple Ridge,310,30,Y
1/17/2015,20,1000,Visual Arts Committee,Y,600,Maple Ridge,184,30,Y
5/13/2015,40,1000,In-School Mentor,Y,600,West Vancouver,433,20,Y
2/10/2015,32,3000,Contest,Y,500,West Vancouver,405,10,Y
9/18/2015,21,1000,Special Event,N,200,New Westminster,415,20,Y
6/4/2015,27,2000,Competition,Y,50,New Westminster,254,20,N
9/8/2015,12,1000,Charitable Donations,Y,300,West Vancouver,176,40,N
7/20/2015,17,3000,In-School Mentor,Y,600,Coquitlam,377,30,Y
9/4/2015,12,3000,Childen Program,N,200,New Westminster,61,40,N
4/7/2015,40,4000,Museum Tour Guide,Y,200,Richmond,230,30,Y
7/15/2015,39,1000,Meals on Wheels Volunteer,Y,50,Langley,36,50,Y
10/20/2015,20,2000,Chamber of Commerce,Y,500,Vancouver,178,10,Y
2/14/2015,11,4000,Community Visitor,Y,400,New Westminster,328,50,Y
9/15/2015,18,4000,Health Product Study,Y,300,Richmond,16,50,Y
9/4/2015,23,3000,Food Hamper Volunteer,Y,200,Coquitlam,483,50,Y
2/8/2015,23,2000,Urban Native Youth Association,Y,300,West Vancouver,420,20,Y
1/19/2015,33,3000,Charitable Donations,Y,50,Vancouver,113,10,Y
4/4/2015,32,1000,Competition,N,500,Burnaby,142,50,Y
8/10/2015,25,2000,Fundraising,Y,50,Coquitlam,124,10,Y
10/3/2015,17,3000,Festival,Y,500,Maple Ridge,492,50,Y
3/3/2015,25,3000,Food Hamper Volunteer,Y,600,Langley,245,30,Y
5/15/2015,38,4000,Chamber of Commerce,Y,200,Coquitlam,346,10,N
1/27/2015,13,3000,Study buddy Tutor,Y,300,Langley,273,50,Y
7/16/2015,14,2000,Training,Y,300,Coquitlam,182,30,Y
1/20/2015,12,2000,Museum Tour Guide,Y,50,North Vancouver,423,40,Y
10/20/2015,12,1000,Meals on Wheels Volunteer,Y,300,Vancouver,319,30,Y
3/14/2015,27,1000,Recreation Assistants,Y,50,West Vancouver,233,20,Y
5/17/2015,34,1000,Graphic Design,N,300,North Vancouver,390,10,Y
7/1/2015,21,4000,Urban Native Youth Association,Y,600,West Vancouver,315,50,Y
4/25/2015,40,1000,Cultural event,Y,600,Langley,33,30,Y
8/4/2015,32,4000,Survey,Y,100,North Vancouver,320,40,Y
8/25/2015,39,4000,Meals on Wheels Volunteer,Y,400,Coquitlam,290,30,Y
9/27/2015,35,1000,Competition,Y,200,Maple Ridge,491,50,Y
9/10/2015,15,3000,Food Hamper Volunteer,Y,400,New Westminster,101,40,Y
3/17/2015,13,2000,Graphic Design,Y,300,Richmond,200,50,Y
9/7/2015,37,4000,Food Hamper Volunteer,Y,200,Richmond,484,10,Y
3/11/2015,10,1000,Fitness Class,Y,400,North Vancouver,203,10,Y
10/27/2015,13,4000,Concert,Y,200,Richmond,375,20,N
5/29/2015,19,2000,Childcare,Y,50,Richmond,181,10,Y
5/26/2015,35,4000,Graphic Design,Y,600,Vancouver,437,50,Y
1/10/2015,25,1000,Contest,Y,300,Burnaby,302,20,Y
7/22/2015,18,4000,Visual Arts Committee,Y,200,Coquitlam,268,10,Y
6/23/2015,29,4000,Recreation Assistants,Y,500,New Westminster,122,20,Y
10/14/2015,22,3000,Competition,Y,50,North Vancouver,289,20,Y
7/26/2015,14,2000,Study buddy Tutor,Y,400,Vancouver,304,30,Y
3/11/2015,32,1000,Childen Program,Y,100,Richmond,19,40,Y
5/4/2015,25,1000,Urban Native Youth Association,Y,400,New Westminster,103,40,Y
5/8/2015,37,3000,Special Event,Y,100,Maple Ridge,374,30,Y
3/30/2015,27,1000,Social Media,Y,100,Burnaby,285,30,Y
3/2/2015,23,4000,Conference,Y,300,North Vancouver,248,10,Y
9/19/2015,29,2000,Development Volunteer,Y,200,Langley,355,50,Y
3/13/2015,25,1000,Social Media,Y,300,Maple Ridge,181,50,Y
7/5/2015,25,4000,Conference,Y,500,Richmond,17,20,Y
8/28/2015,27,2000,Chamber of Commerce,Y,500,North Vancouver,53,50,Y
9/3/2015,38,4000,Big Sister Program,Y,200,Coquitlam,28,20,Y
8/10/2015,15,3000,Market Volunteer,Y,500,New Westminster,492,20,N
9/18/2015,34,2000,Cultural event,Y,200,Coquitlam,271,10,Y
4/2/2015,37,4000,Speech,N,200,Burnaby,489,40,Y
5/6/2015,24,4000,Chamber of Commerce,Y,200,Coquitlam,248,20,Y
6/27/2015,27,2000,Urban Native Youth Association,Y,50,Richmond,51,10,Y
7/4/2015,25,3000,Equipment Sorter,Y,100,Maple Ridge,285,20,N
6/20/2015,32,4000,Fundraising,Y,400,Richmond,176,10,Y
8/29/2015,40,3000,Study buddy Tutor,Y,100,Vancouver,297,10,Y
8/8/2015,13,4000,Nature House Volunteer,Y,400,Richmond,448,20,Y
4/20/2015,26,4000,Party,Y,100,New Westminster,167,50,Y
5/5/2015,35,4000,Development Volunteer,Y,200,New Westminster,193,50,Y
3/19/2015,11,1000,Graphic Design,Y,50,West Vancouver,173,20,Y
6/29/2015,24,1000,Museum Tour Guide,N,200,Coquitlam,122,10,Y
4/8/2015,22,1000,Development Volunteer,Y,50,Richmond,61,50,Y
8/20/2015,11,3000,Visual Arts Committee,Y,300,Vancouver,282,20,Y
3/4/2015,30,4000,Urban Native Youth Association,Y,600,Coquitlam,257,20,N
6/1/2015,39,3000,Social Media,N,400,Burnaby,325,50,Y
5/11/2015,29,3000,Charitable Donations,Y,400,North Vancouver,316,20,Y
3/3/2015,29,2000,Survey,Y,300,Langley,322,40,Y
4/23/2015,25,2000,Party,Y,100,Coquitlam,436,40,Y
3/17/2015,11,3000,Cultural event,Y,50,North Vancouver,199,20,N
2/17/2015,18,4000,Visual Arts Committee,Y,100,West Vancouver,497,30,Y
3/19/2015,28,3000,Office Volunteer,N,100,Maple Ridge,107,30,Y
5/26/2015,32,2000,Speech,Y,200,New Westminster,138,30,Y
1/6/2015,40,1000,In-School Mentor,Y,400,North Vancouver,388,10,Y
10/11/2015,21,4000,Parade,Y,100,West Vancouver,90,50,Y
8/25/2015,20,3000,Competition,Y,300,Richmond,188,30,Y
6/9/2015,24,3000,In-School Mentor,Y,50,North Vancouver,412,20,Y
4/25/2015,37,4000,Health Product Study,Y,200,West Vancouver,121,50,Y
9/12/2015,40,2000,Fundraising,Y,50,Burnaby,328,40,Y
10/4/2015,27,2000,Training,Y,600,Langley,311,50,N
4/29/2015,28,2000,In-School Mentor,Y,100,Maple Ridge,419,20,Y
10/7/2015,30,2000,Conference,Y,200,Langley,154,40,Y
4/13/2015,20,4000,Equipment Sorter,Y,400,Coquitlam,440,20,Y
6/13/2015,33,3000,Chamber of Commerce,Y,300,Richmond,480,20,Y
1/13/2015,32,4000,Contest,Y,300,Vancouver,208,10,Y
10/2/2015,17,2000,Parade,Y,300,Burnaby,417,20,N
10/16/2015,27,4000,Fitness Class,N,100,North Vancouver,322,30,Y
2/2/2015,32,2000,Fundraising,Y,100,West Vancouver,72,10,Y
4/14/2015,29,4000,Parade,Y,500,West Vancouver,361,50,Y
7/8/2015,31,3000,Speech,N,500,Vancouver,87,30,Y
10/11/2015,35,3000,Survey,Y,100,Langley,106,50,Y
7/5/2015,27,1000,Social Media,Y,500,Coquitlam,245,50,Y
5/18/2015,33,4000,Development Volunteer,Y,500,North Vancouver,336,40,Y
6/26/2015,14,2000,Contest,Y,50,North Vancouver,12,30,Y
10/4/2015,40,4000,In-School Mentor,Y,200,Coquitlam,474,20,Y
10/10/2015,36,3000,Chamber of Commerce,Y,200,Richmond,430,50,Y
3/27/2015,20,4000,Recreation Assistants,Y,500,Burnaby,164,40,Y
1/10/2015,33,2000,Conference,Y,300,Langley,184,20,Y
10/24/2015,29,1000,Charitable Donations,Y,400,Coquitlam,230,20,Y
8/22/2015,26,1000,Contest,Y,600,Langley,273,20,Y
8/7/2015,11,1000,Equipment Sorter,Y,400,Coquitlam,308,50,Y
5/7/2015,19,2000,Party,Y,300,Burnaby,419,40,Y
5/1/2015,31,4000,Concert,Y,100,Burnaby,483,10,Y
2/17/2015,19,1000,Speech,Y,300,North Vancouver,333,20,Y
5/27/2015,22,4000,Market Volunteer,Y,600,Burnaby,436,50,N
8/20/2015,14,3000,Childcare,N,600,West Vancouver,361,30,Y
10/11/2015,15,1000,Conference,N,100,Vancouver,384,30,Y
10/13/2015,21,1000,Nature House Volunteer,Y,100,Burnaby,105,20,Y
10/19/2015,40,4000,Training,N,500,New Westminster,269,40,Y
9/27/2015,30,3000,Nature House Volunteer,N,200,Coquitlam,442,50,Y
3/5/2015,24,1000,Big Sister Program,Y,500,Burnaby,424,40,Y
7/29/2015,33,1000,Fitness Class,Y,50,Richmond,157,30,N
1/25/2015,37,1000,Speech,Y,300,New Westminster,372,50,Y
8/17/2015,23,2000,Charitable Donations,Y,200,Vancouver,382,20,Y
9/21/2015,39,2000,Conference,N,500,North Vancouver,466,20,Y
8/16/2015,37,4000,Speech,Y,300,North Vancouver,282,20,Y
1/16/2015,25,4000,Equipment Sorter,Y,300,Coquitlam,335,10,Y
3/26/2015,13,4000,Charitable Donations,Y,300,New Westminster,242,20,Y
1/21/2015,17,3000,Visual Arts Committee,Y,500,West Vancouver,263,20,Y
2/27/2015,18,2000,Graphic Design,Y,500,Langley,46,50,N
9/29/2015,10,2000,Childcare,Y,200,Coquitlam,468,20,Y
2/23/2015,33,4000,Fundraising,Y,200,Richmond,404,40,Y
2/6/2015,19,4000,Childcare,Y,600,Langley,308,10,Y
1/8/2015,17,4000,In-School Mentor,Y,600,Langley,18,30,Y
6/22/2015,11,3000,Fundraising,Y,200,North Vancouver,365,30,Y
1/14/2015,24,4000,Concert,Y,200,Vancouver,269,10,N
4/18/2015,30,2000,Health Product Study,Y,300,Langley,67,20,Y
2/13/2015,38,1000,Social Media,Y,400,Burnaby,165,20,Y
1/18/2015,21,3000,Fundraising,Y,100,West Vancouver,147,40,Y
10/27/2015,18,3000,Food Hamper Volunteer,Y,400,Vancouver,60,50,Y
9/8/2015,24,4000,Health Product Study,Y,400,Maple Ridge,280,10,Y
10/10/2015,12,2000,Childcare,Y,50,New Westminster,205,50,Y
5/4/2015,19,2000,Childcare,Y,500,North Vancouver,290,40,Y
6/16/2015,14,1000,Market Volunteer,Y,500,North Vancouver,308,20,Y
9/25/2015,34,3000,Graphic Design,Y,300,Coquitlam,168,40,Y
4/23/2015,23,4000,Museum Tour Guide,Y,200,West Vancouver,369,20,Y
9/1/2015,22,1000,Contest,Y,300,Langley,157,10,N
1/8/2015,35,1000,Market Volunteer,Y,600,Maple Ridge,312,30,Y
3/21/2015,35,1000,Chamber of Commerce,Y,300,North Vancouver,295,30,Y
1/13/2015,17,2000,Speech,Y,100,Coquitlam,315,20,Y
8/26/2015,40,3000,Recreation Assistants,Y,500,New Westminster,160,10,Y
8/1/2015,25,2000,Museum Tour Guide,Y,600,Coquitlam,431,40,Y
10/22/2015,38,1000,Special Event,Y,400,Burnaby,139,40,Y
2/6/2015,21,1000,Charitable Donations,Y,400,Vancouver,164,50,Y
3/23/2015,39,2000,Concert,Y,50,West Vancouver,35,10,N
8/12/2015,15,3000,Museum Tour Guide,Y,400,Burnaby,500,50,N
1/12/2015,14,2000,Development Volunteer,Y,500,Maple Ridge,194,30,Y
6/11/2015,26,3000,Health Product Study,Y,100,Maple Ridge,318,20,Y
7/9/2015,28,2000,Development Volunteer,Y,200,Langley,286,30,Y
4/1/2015,24,2000,Parade,Y,400,Langley,448,50,Y
4/15/2015,39,3000,Visual Arts Committee,Y,100,Burnaby,403,50,Y
6/2/2015,15,4000,Urban Native Youth Association,Y,100,North Vancouver,293,50,Y
1/18/2015,13,4000,Recreation Assistants,Y,200,West Vancouver,500,40,Y
3/15/2015,17,4000,Special Event,Y,500,Maple Ridge,338,10,Y
8/14/2015,39,1000,Charitable Donations,Y,100,Langley,196,10,Y
1/28/2015,30,1000,Seniors Centre Volunteer,Y,300,Coquitlam,297,40,Y
2/27/2015,14,4000,Fundraising,Y,500,New Westminster,22,30,N
2/16/2015,35,3000,Parade,Y,100,Vancouver,413,30,Y
3/4/2015,19,1000,Community Visitor,Y,300,Burnaby,72,10,Y
3/11/2015,14,3000,Social Media,Y,400,Richmond,42,30,Y
2/1/2015,37,4000,Health Product Study,Y,50,Burnaby,106,50,Y
9/8/2015,13,4000,Office Volunteer,Y,200,New Westminster,85,30,Y
5/4/2015,11,2000,Cultural event,Y,600,Vancouver,441,40,Y
2/2/2015,34,4000,Special Event,Y,300,Vancouver,158,40,Y
7/25/2015,17,3000,Community Visitor,Y,100,New Westminster,215,50,Y
1/9/2015,20,4000,Parade,Y,500,Burnaby,445,30,N
8/27/2015,36,2000,Childcare,Y,500,New Westminster,352,50,Y
9/11/2015,18,1000,Chamber of Commerce,N,100,New Westminster,48,10,Y
9/17/2015,14,1000,Visual Arts Committee,Y,400,West Vancouver,155,20,Y
6/11/2015,13,4000,Equipment Sorter,Y,100,Langley,389,50,Y
10/6/2015,39,1000,Graphic Design,Y,200,Vancouver,446,20,Y
9/23/2015,24,3000,Food Hamper Volunteer,Y,400,Vancouver,327,10,Y
9/22/2015,21,3000,Big Sister Program,Y,50,Richmond,393,10,Y
4/3/2015,15,4000,Recreation Assistants,Y,600,West Vancouver,461,20,N
3/22/2015,19,1000,Parade,Y,200,Langley,230,50,Y
1/23/2015,23,3000,Seniors Centre Volunteer,Y,100,Vancouver,55,40,Y
9/23/2015,17,2000,Community Visitor,Y,600,Langley,28,50,Y
1/19/2015,26,4000,Equipment Sorter,Y,200,Langley,163,10,N
7/10/2015,40,1000,Seniors Centre Volunteer,Y,500,Richmond,46,40,Y
4/21/2015,28,4000,Office Volunteer,Y,400,Richmond,153,40,Y
9/22/2015,13,3000,Graphic Design,Y,300,New Westminster,255,30,Y
4/14/2015,13,4000,Competition,Y,400,Langley,264,20,Y
2/4/2015,20,1000,Fundraising,Y,400,North Vancouver,469,30,Y
6/25/2015,31,3000,Cultural event,Y,400,Coquitlam,77,20,N
5/10/2015,24,4000,Museum Tour Guide,Y,400,Maple Ridge,72,50,N
3/13/2015,11,1000,Museum Tour Guide,Y,100,Maple Ridge,175,50,Y
5/27/2015,38,2000,Training,Y,200,Richmond,140,20,Y
7/9/2015,31,2000,Museum Tour Guide,Y,200,Langley,73,30,Y
9/14/2015,29,3000,Speech,Y,200,West Vancouver,116,10,Y
4/2/2015,40,4000,Food Hamper Volunteer,Y,400,North Vancouver,296,40,Y
1/11/2015,25,2000,Nature House Volunteer,Y,500,Langley,199,50,Y
10/9/2015,22,2000,Chamber of Commerce,Y,200,Vancouver,251,40,Y
6/1/2015,25,2000,Graphic Design,Y,600,New Westminster,347,10,Y
10/8/2015,35,3000,Childen Program,Y,600,New Westminster,187,50,Y
7/15/2015,21,1000,Speech,Y,500,New Westminster,165,20,Y
6/19/2015,11,3000,Meals on Wheels Volunteer,Y,400,Coquitlam,229,20,Y
7/2/2015,36,1000,Concert,Y,100,West Vancouver,162,20,Y
6/26/2015,19,1000,Big Sister Program,Y,400,West Vancouver,290,20,Y
9/18/2015,16,4000,Seniors Centre Volunteer,Y,400,Langley,234,20,Y
8/23/2015,20,4000,Health Product Study,Y,500,Burnaby,399,40,N
8/6/2015,19,4000,Cultural event,Y,500,Burnaby,475,50,Y
6/6/2015,19,4000,Nature House Volunteer,Y,400,Maple Ridge,25,40,Y
3/28/2015,21,2000,Fitness Class,Y,300,Vancouver,468,50,Y
7/20/2015,19,1000,Study buddy Tutor,Y,100,Vancouver,171,10,N
9/14/2015,40,2000,Party,Y,600,New Westminster,424,30,Y
4/26/2015,12,1000,Contest,Y,50,Coquitlam,454,20,N
9/3/2015,10,3000,Parade,Y,300,North Vancouver,115,30,Y
1/5/2015,20,3000,Training,N,500,Maple Ridge,394,40,Y
3/28/2015,31,1000,Meals on Wheels Volunteer,Y,300,Richmond,177,30,Y
6/26/2015,30,1000,Competition,Y,200,Burnaby,174,40,N
2/25/2015,14,1000,Social Media,Y,300,New Westminster,354,40,Y
10/22/2015,29,4000,Development Volunteer,Y,50,North Vancouver,38,30,Y
9/12/2015,23,3000,Graphic Design,N,600,West Vancouver,256,50,Y
1/26/2015,31,1000,Museum Tour Guide,Y,600,Burnaby,372,10,Y
7/9/2015,27,2000,Urban Native Youth Association,Y,50,West Vancouver,48,50,Y
3/22/2015,27,4000,Speech,Y,500,North Vancouver,478,50,N
6/12/2015,27,3000,Recreation Assistants,Y,200,Coquitlam,375,20,Y
6/9/2015,22,3000,Graphic Design,Y,100,Langley,328,40,Y
8/10/2015,32,3000,Survey,Y,400,Langley,365,10,Y
6/24/2015,10,1000,Speech,Y,50,Burnaby,235,50,Y
6/24/2015,26,1000,Graphic Design,N,200,Vancouver,358,30,Y
9/2/2015,39,2000,Fundraising,Y,50,New Westminster,269,50,N
4/27/2015,12,2000,Development Volunteer,Y,50,Vancouver,190,50,Y
5/26/2015,17,3000,Meals on Wheels Volunteer,Y,400,Burnaby,210,40,Y
10/5/2015,26,1000,Party,Y,300,West Vancouver,391,20,N
4/1/2015,22,4000,In-School Mentor,Y,50,North Vancouver,159,40,Y
4/4/2015,12,3000,Development Volunteer,Y,300,Maple Ridge,395,30,Y
8/10/2015,24,4000,Training,Y,600,Vancouver,430,50,Y
1/15/2015,27,3000,Development Volunteer,N,400,New Westminster,470,40,Y
6/3/2015,27,4000,Charitable Donations,Y,300,West Vancouver,391,50,Y
1/23/2015,11,2000,Special Event,Y,400,West Vancouver,50,50,Y
1/22/2015,26,3000,Urban Native Youth Association,Y,500,Richmond,460,20,Y
1/4/2015,15,2000,Graphic Design,Y,100,Maple Ridge,182,20,Y
1/4/2015,37,1000,Market Volunteer,Y,300,Burnaby,382,40,Y
10/16/2015,38,2000,Fitness Class,Y,500,Coquitlam,378,10,Y
7/5/2015,20,4000,Cultural event,Y,400,Maple Ridge,354,50,Y
9/17/2015,34,3000,Concert,N,400,Maple Ridge,426,30,Y
2/24/2015,18,2000,Study buddy Tutor,N,300,Richmond,61,20,Y
3/13/2015,37,2000,Nature House Volunteer,Y,100,New Westminster,387,20,Y
2/24/2015,35,3000,Competition,Y,100,New Westminster,56,40,Y
2/23/2015,40,4000,Big Sister Program,Y,500,West Vancouver,434,10,Y
1/1/2015,19,4000,Fitness Class,Y,200,New Westminster,40,50,Y
10/6/2015,24,1000,Charitable Donations,Y,300,New Westminster,365,30,Y
2/9/2015,38,4000,Special Event,Y,600,West Vancouver,431,40,Y
10/18/2015,23,3000,Chamber of Commerce,Y,50,New Westminster,176,50,Y
5/14/2015,38,3000,Speech,N,300,Burnaby,386,40,N
4/19/2015,17,1000,Social Media,Y,100,Vancouver,52,50,Y
4/11/2015,20,2000,Urban Native Youth Association,N,100,North Vancouver,177,10,Y
4/9/2015,16,4000,Cultural event,Y,200,Richmond,327,20,Y
10/15/2015,10,4000,Seniors Centre Volunteer,Y,100,Richmond,92,10,Y
10/24/2015,29,4000,Urban Native Youth Association,Y,100,Langley,437,40,Y
2/9/2015,40,2000,Concert,Y,300,North Vancouver,321,20,N
4/28/2015,15,4000,Seniors Centre Volunteer,Y,600,Langley,281,10,Y
5/3/2015,39,2000,Visual Arts Committee,N,300,Richmond,488,20,Y
4/8/2015,36,3000,Party,Y,300,Burnaby,74,50,Y
2/5/2015,28,1000,Equipment Sorter,Y,100,New Westminster,228,10,N
6/12/2015,34,4000,Study buddy Tutor,Y,400,North Vancouver,163,30,Y
1/6/2015,11,1000,Development Volunteer,Y,100,New Westminster,281,10,Y
4/1/2015,12,3000,Conference,Y,200,Langley,212,50,Y
8/11/2015,14,4000,Competition,Y,300,Coquitlam,306,20,Y
9/27/2015,23,2000,Seniors Centre Volunteer,Y,200,Coquitlam,42,30,Y
10/2/2015,15,1000,Childen Program,Y,200,North Vancouver,202,40,Y
2/26/2015,27,2000,Development Volunteer,Y,200,New Westminster,273,50,Y
2/18/2015,10,2000,Childcare,Y,500,Vancouver,262,50,Y
4/23/2015,33,1000,Special Event,Y,400,Coquitlam,232,50,Y
6/8/2015,19,3000,Speech,Y,400,New Westminster,335,40,Y
5/20/2015,16,1000,Big Sister Program,Y,50,Maple Ridge,467,20,Y
1/27/2015,34,4000,Festival,Y,50,Burnaby,366,20,Y
2/21/2015,22,1000,Festival,Y,600,Burnaby,158,20,Y
8/14/2015,27,4000,Health Product Study,N,100,North Vancouver,341,30,Y
3/15/2015,40,1000,Recreation Assistants,Y,300,New Westminster,193,20,Y
7/16/2015,38,4000,Festival,Y,50,West Vancouver,79,20,Y
7/28/2015,24,2000,Social Media,N,50,Langley,292,50,Y
9/17/2015,19,4000,Fundraising,N,200,Vancouver,431,50,Y
5/20/2015,35,4000,Concert,Y,500,North Vancouver,381,30,Y
9/30/2015,35,4000,Special Event,Y,500,Burnaby,306,10,Y
6/5/2015,39,4000,Conference,Y,50,North Vancouver,136,30,Y
8/29/2015,11,1000,Childen Program,Y,300,West Vancouver,369,10,Y
4/8/2015,20,1000,Market Volunteer,Y,600,Maple Ridge,250,10,N
7/8/2015,16,3000,Study buddy Tutor,Y,300,West Vancouver,329,50,Y
